iter	Passed	Remaining
137	113855	298663
138	114512	297402
139	115159	296124
140	115884	295053
141	116604	293973
142	117260	292741
143	118142	292074
144	118784	290817
145	119436	289593
146	120525	289425
147	121299	288494
148	122011	287423
149	122690	286278
150	123342	285075
151	123988	283868
152	124631	282660
153	125553	282087
154	126757	282137
155	127559	281285
156	128215	280114
157	128955	279130
158	129650	278055
159	130523	277363
160	131429	276737
161	132118	275654
162	133017	275012
163	133876	274282
164	134536	273149
165	135624	272883
166	136758	272697
167	137768	272257
168	138447	271160
169	139328	270460
170	140478	270277
171	141259	269378
172	141915	268244
173	142652	267269
174	143288	266107
175	144241	265535
176	145000	264604
177	146257	264578
178	146985	263588
179	147722	262618
180	148374	261499
181	149403	261046
182	150114	260033
183	150833	259040
184	151824	258512
185	152864	258062
186	153678	257226
187	154479	256369
188	155136	255277
189	155802	254203
190	156512	253206
191	157305	252344
192	157956	251257
193	158957	250727
194	159888	250081
195	160875	249520
196	161584	248528
197	162990	248601
198	164040	248121
199	165028	247542
200	165782	246612
201	166502	245632
202	167131	244522
203	168038	243820
204	168889	243035
205	170351	243123
206	171466	242703
207	172139	241657
208	173214	241174
209	174474	240940
210	175291	240091
211	176455	239713
212	177341	238952
213	178045	237948
214	179073	237376
215	179910	236548
216	180766	235745
217	181693	235035
218	182658	234369
219	183333	233333
220	184012	232305
221	184977	231638
222	186586	231769
223	187563	231104
224	188387	230251
225	189312	229520
226	190392	228973
227	191239	228145
228	192591	227914
229	193408	227044
230	194505	226501
231	195565	225912
232	196709	225413
233	197464	224468
234	198178	223477
235	199480	223147
236	200127	222082
237	201075	221352
238	202030	220627
239	202825	219728
240	203696	218909
241	204956	218507
242	205863	217724
243	207285	217479
244	208308	216811
245	209254	216059
246	210325	215434
247	211447	214857
248	212853	214562
249	213662	213662
250	214618	212908
251	215297	211880
252	216444	211311
253	217772	210913
254	218766	210187
255	219938	209628
256	220863	208832
257	221640	207895
258	222441	206982
259	223520	206326
260	224818	205868
261	226302	205572
262	227451	204965
263	228664	204412
264	229667	203667
265	231060	203263
266	231871	202344
267	232865	201585
268	233917	200873
269	235019	200202
270	236308	199685
271	237641	199199
272	238493	198307
273	239188	197287
274	239840	196233
275	240735	195379
276	241461	194389
277	243103	194132
278	244222	193452
279	245413	192824
280	246111	191809
281	247284	191162
282	248478	190529
283	249765	189962
284	251012	189360
285	252088	188625
286	253696	188283
287	254810	187568
288	256456	187239
289	257509	186472
290	258341	185544
291	259322	184723
292	260520	184053
293	261186	183008
294	262070	182116
295	262991	181250
296	264300	180649
297	265308	179839
298	266514	179161
299	267900	178600
300	268772	177693
301	269867	176932
302	270765	176042
303	271645	175139
304	272846	174442
305	273660	173497
306	274858	172793
307	275824	171942
308	277255	171377
309	278749	170846
310	280012	170168
311	281130	169399
312	282625	168852
313	283661	168028
314	284425	167043
315	285124	166021
316	285965	165084
317	287461	164521
318	288514	163702
319	289539	162866
320	290693	162100
321	291639	161216
322	292831	160467
323	293953	159678
324	295165	158935
325	296605	158311
326	297736	157518
327	298875	156727
328	299884	155867
329	300951	155035
330	302135	154262
331	303349	153502
332	304472	152693
333	305436	151803
334	306621	151022
335	307509	150093
336	308677	149300
337	310037	148597
338	311589	147981
339	312428	147025
340	313743	146290
341	315053	145550
342	316171	144720
343	317312	143897
344	318378	143039
345	319570	142236
346	320643	141378
347	321892	140596
348	322927	139719
349	324163	138927
350	325467	138161
351	326551	137300
352	327548	136401
353	328688	135560
354	330293	134908
355	331320	134017
356	332460	133170
357	333430	132254
358	334595	131414
359	335925	130637
360	337033	129772
361	337972	128840
362	338716	127834
363	340229	127118
364	341275	126225
365	342499	125395
366	343691	124553
367	344688	123638
368	345942	122814
369	347181	121982
370	348268	121095
371	349581	120286
372	350898	119474
373	352039	118601
374	353425	117808
375	354615	116947
376	355749	116066
377	356710	115128
378	357898	114263
379	359179	113425
380	360300	112534
381	361486	111663
382	362862	110848
383	363972	109949
384	365030	109035
385	366462	108229
386	367759	107382
387	369097	106543
388	370223	105642
389	371099	104669
390	371929	103683
391	372850	102724
392	373988	101823
393	375193	100940
394	376138	99986
395	377191	99060
396	378582	98221
397	379890	97358
